                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.83312,                0.43281,                 1.0409,                 0.9749,                0.97672,                0.98429,                0.75797,                 0.8226,                0.36362,                 1.0564,             0.00036307,             0.00036307,             0.00036307
                     36,                0.82858,                0.42884,                 1.0273,                0.98386,                0.97667,                 0.9891,                0.76008,                0.83182,                0.36209,                 1.0699,             0.00034108,             0.00034108,             0.00034108
                     37,                0.83081,                0.42992,                 1.0374,                0.98185,                0.97138,                 0.9812,                0.75067,                0.84778,                0.36572,                 1.0632,             0.00031908,             0.00031908,             0.00031908
                     38,                0.81281,                0.41498,                 1.0263,                0.97806,                0.97719,                0.98469,                0.75397,                0.83207,                0.35817,                 1.0638,             0.00029708,             0.00029708,             0.00029708
                     39,                0.79358,                0.40351,                 1.0223,                0.98528,                0.97691,                0.98669,                0.75772,                0.82795,                0.34704,                 1.0574,             0.00027508,             0.00027508,             0.00027508
                     40,                0.78867,                0.39714,                 1.0193,                0.98467,                0.97998,                0.98698,                0.76518,                0.81488,                0.34711,                 1.0532,             0.00025309,             0.00025309,             0.00025309
                     41,                0.77927,                0.37234,                 1.0173,                0.98459,                0.97801,                0.98703,                0.76152,                 0.8248,                0.34964,                 1.0693,             0.00023109,             0.00023109,             0.00023109
                     42,                0.76767,                0.36712,                 1.0082,                0.98315,                0.97673,                0.98474,                0.76051,                0.81716,                0.34507,                 1.0616,             0.00020909,             0.00020909,             0.00020909
                     43,                0.75338,                0.35351,                 1.0082,                0.98584,                0.97793,                0.98675,                0.76578,                0.80901,                 0.3402,                 1.0586,             0.00018709,             0.00018709,             0.00018709
                     44,                0.74518,                0.35002,                 1.0006,                0.98404,                0.97621,                0.98575,                0.76585,                0.82307,                0.34347,                 1.0618,             0.00016509,             0.00016509,             0.00016509
                     45,                0.74123,                0.34372,                0.99449,                0.98172,                0.98129,                0.98616,                 0.7661,                0.81013,                0.33533,                  1.057,              0.0001431,              0.0001431,              0.0001431
                     46,                0.73103,                0.34313,                0.98684,                0.98461,                 0.9803,                0.98575,                0.76495,                0.81156,                0.33141,                 1.0594,              0.0001211,              0.0001211,              0.0001211
                     47,                0.71922,                0.32814,                0.98919,                 0.9862,                0.98046,                0.98608,                 0.7672,                0.80394,                0.33083,                 1.0585,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                0.71318,                0.32965,                0.98633,                0.98364,                0.98314,                0.98603,                0.76896,                0.79746,                0.32419,                 1.0511,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                0.70056,                0.32967,                0.98503,                0.98551,                0.98056,                0.98438,                0.77296,                0.79225,                0.32375,                 1.0493,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                0.68654,                0.31504,                0.97741,                0.98406,                0.98163,                0.98421,                0.77336,                0.78642,                0.31952,                 1.0456,             3.3108e-05,             3.3108e-05,             3.3108e-05
